variance,avg_isolated,avg_num_communities,avg_modularity,avg_similarity,epsilon
0.08915724647391197,34.4,2.2,0.0006004001999998334,0.6777262306197412,0.05410821643286573
0.08933885156772271,32.2,1.4,0.0003001750499248165,0.682821101510812,0.055110220440881756
0.08925904223544766,37.6,2.0,0.000600274949624343,0.6839080439072095,0.05611222444889779
0.08880447016328756,36.2,2.8,0.0011005249493738368,0.6835803246790546,0.05711422845691382
0.088610379634468,33.2,2.0,0.000600325049774527,0.6826803017874056,0.058116232464929855
0.08696964223287632,31.2,2.2,0.000700349999649357,0.685395955231477,0.05911823647294589
0.0890276217772869,31.2,2.6,0.0009004249494740536,0.6821180450169619,0.06012024048096192
0.08811709924929575,38.2,2.4,0.0007004251498746412,0.6806626272594404,0.06112224448897795
0.08992065768171735,37.2,1.4,0.000200150100050028,0.6802193750883416,0.06212424849699398
0.088450518372807,36.0,1.8,0.0004002500999498054,0.6857361298641779,0.06312625250501001
0.08951456053986073,34.4,3.0,0.001100474849223669,0.6856986996528378,0.06412825651302605
0.08751999276889161,40.0,2.2,0.0006003500998496272,0.6885662214896218,0.06513026052104208
0.08830570060372059,34.2,2.8,0.0011003495988481371,0.6897056974740473,0.06613226452905811
0.08820375088516348,30.2,2.8,0.0009005501998495438,0.6862333876231674,0.06713426853707415
0.08811679644342232,33.2,3.8,0.0015005495986477305,0.686550038300697,0.06813627254509018
0.08732333459051297,37.2,1.6,0.0003002000999999167,0.6887325034856108,0.06913827655310621
0.08791160138057301,33.6,2.6,0.0008005001998996552,0.6882408641752098,0.07014028056112225
0.08710981028680229,28.8,2.8,0.0010003747491235295,0.6908954130135523,0.07114228456913826
0.0889898095863644,34.2,1.4,0.000200150100050028,0.6894122047221534,0.0721442885771543
0.08782309835876685,36.8,3.0,0.0010005751497243517,0.6902074855709444,0.07314629258517033
0.08752327234016524,35.6,1.8,0.000600299999699452,0.6901723304404647,0.07414829659318636
0.08714270288289454,29.8,2.8,0.0009005000996993598,0.6919871356558248,0.0751503006012024
0.08805467353843224,32.6,2.6,0.0008005001998996552,0.6904217236073587,0.07615230460921843
0.08705528592215082,33.2,1.4,0.00030012494977461033,0.6925394511498467,0.07715430861723446
0.08809135009841891,32.8,2.0,0.0005003251499748195,0.6901058141407479,0.0781563126252505
0.08684821893598807,29.0,2.0,0.00050037525012507,0.6931965166651987,0.07915831663326653
0.08747132663763009,33.4,3.4,0.0012005749493237388,0.6936500783683879,0.08016032064128256
0.087681697305706,30.4,2.6,0.0008004751498245299,0.69828142755378,0.0811623246492986
0.08653572827396402,31.2,3.4,0.001200650099549048,0.6999131752119594,0.08216432865731463
0.08716577087609739,36.4,1.8,0.0004002751500249307,0.6943019356706088,0.08316633266533066
0.08642046557783264,32.6,3.0,0.0011006000995991403,0.6995302593719667,0.08416833667334668
0.08588292547776405,36.4,1.8,0.0005003251499748445,0.7013421589505203,0.08517034068136271
0.08659889370054201,32.6,2.2,0.0006004252500749587,0.7001282066416507,0.08617234468937875
