avg_num_communities,avg_modularity,epsilon,mu
1.8,0.00040022504987472445,0.0,0.46
3.0,0.0010004999994990423,0.0,0.47000000000000003
2.2,0.0006004001999998334,0.0,0.48
2.4,0.0008003999995992456,0.0,0.49
2.0,0.0005003502000499448,0.0,0.5
1.8,0.0004002751500249307,0.01,0.0
3.0,0.0010006001997994326,0.01,0.01
2.4,0.0007004251498746412,0.01,0.02
3.2,0.001500499498497558,0.01,0.03
2.0,0.00050037525012507,0.01,0.04
2.8,0.0009005251497744629,0.01,0.05
2.2,0.0008002997992988583,0.01,0.06
2.6,0.0008003749495241396,0.01,0.07
1.4,0.000200150100050028,0.01,0.08
2.4,0.0009004499995491373,0.01,0.09
3.0,0.001000449899348836,0.01,0.1
1.6,0.0003002000999999167,0.01,0.11
3.0,0.0012004997990984353,0.01,0.12
2.2,0.0006003500998496272,0.01,0.13
3.0,0.00100039979919863,0.01,0.14
2.8,0.0009005000996993376,0.01,0.15
1.8,0.000400300200100056,0.01,0.16
3.4,0.0014004995986978221,0.01,0.17
1.6,0.0003002000999999167,0.01,0.18
3.2,0.001200549899248661,0.01,0.19
2.8,0.0009005501998495438,0.01,0.2
3.4,0.0013004245486728278,0.01,0.21
2.2,0.000700400099799541,0.01,0.22
2.8,0.00110047484922365,0.01,0.23
2.2,0.0007003249495742316,0.01,0.24
3.4,0.0013005497990483655,0.01,0.25
2.4,0.0008005001998996359,0.01,0.26
2.4,0.0007004752500248474,0.01,0.27
2.0,0.000600325049774527,0.01,0.28
2.4,0.0008004751498245106,0.01,0.29
2.2,0.0009004499995491433,0.01,0.3
2.6,0.0008004751498245299,0.01,0.31
2.8,0.001000525049574126,0.01,0.32
2.0,0.000600325049774527,0.01,0.33
1.8,0.0004002751500249307,0.01,0.34
2.4,0.0008003999995992456,0.01,0.35000000000000003
3.2,0.0012006250494739257,0.01,0.36
2.0,0.0005002750498246132,0.01,0.37
2.8,0.0010004248492737357,0.01,0.38
2.2,0.0006002999996994431,0.01,0.39
2.6,0.0012000301101903086,0.01,0.4
2.2,0.0008003749495241455,0.01,0.41000000000000003
2.4,0.0008005001998996359,0.01,0.42
2.0,0.000600325049774527,0.01,0.43
2.0,0.0005003502000499447,0.01,0.44
2.6,0.0009004750496242376,0.01,0.45
2.6,0.0010003747491235356,0.01,0.46
2.0,0.0006004001999998585,0.01,0.47000000000000003
3.4,0.001200625049473945,0.01,0.48
2.2,0.0006004252500749587,0.01,0.49
2.2,0.0006003751499247081,0.01,0.5
2.0,0.0008001995989984579,0.02,0.0
2.6,0.0009004499995491343,0.02,0.01
2.0,0.0006003500998496523,0.02,0.02
2.4,0.0007004501999497221,0.02,0.03
